# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.343e-10, Err(n_e)=6.972e-11, Err(IET)=1.244e-12, Q_net=-4.338e-09
# {"name":"Al", "Z":13, "Zstar":4.763648122022713, "A":26.981539,  "μ[AU]": -1.4933693199e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.133759e+02    0.000000e+00
   5.980213e-02             nan    4.286914e+02    0.000000e+00
   8.970320e-02             nan    2.976857e+02    0.000000e+00
   1.196043e-01             nan    2.301835e+02    0.000000e+00
   1.495053e-01             nan    1.884220e+02    0.000000e+00
   1.794064e-01             nan    1.595996e+02    0.000000e+00
   2.093075e-01             nan    1.383430e+02    0.000000e+00
   2.392085e-01             nan    1.218604e+02    0.000000e+00
   2.691096e-01             nan    1.086605e+02    0.000000e+00
   2.990107e-01             nan    9.778606e+01    0.000000e+00
   3.289117e-01             nan    8.866616e+01    0.000000e+00
   3.588128e-01             nan    8.087735e+01    0.000000e+00
   3.887139e-01             nan    7.415408e+01    0.000000e+00
   4.186149e-01             nan    6.827724e+01    0.000000e+00
   4.485160e-01             nan    6.310558e+01    0.000000e+00
   4.784171e-01             nan    5.851123e+01    0.000000e+00
   5.083181e-01             nan    5.441239e+01    0.000000e+00
   5.382192e-01             nan    5.072826e+01    0.000000e+00
   5.681203e-01             nan    4.740750e+01    0.000000e+00
   5.980213e-01             nan    4.439588e+01    0.000000e+00
   6.279224e-01             nan    4.165967e+01    0.000000e+00
   6.578235e-01             nan    3.916045e+01    0.000000e+00
   6.877245e-01             nan    3.687517e+01    0.000000e+00
   7.176256e-01             nan    3.477570e+01    0.000000e+00
   7.475267e-01             nan    3.284576e+01    0.000000e+00
   7.774277e-01             nan    3.106405e+01    0.000000e+00
   8.073288e-01             nan    2.941878e+01    0.000000e+00
   8.372299e-01             nan    2.789349e+01    0.000000e+00
   8.671309e-01             nan    2.647948e+01    0.000000e+00
   8.970320e-01             nan    2.516374e+01    0.000000e+00
