# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=-inf, Err(n_e)=5.290e-09, Err(IET)=9.988e-13, Q_net=-9.095e-13
# {"name":"Al", "Z":13, "Zstar":5.045299215258988, "A":26.981539,  "μ[AU]": -1.1848210039e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-03    1.361854e+01    8.573943e+03    0.000000e+00
   5.980213e-03    1.159785e+01    4.316744e+03    0.000000e+00
   8.970320e-03    1.060810e+01    2.897279e+03    0.000000e+00
   1.196043e-02    9.977965e+00    2.187231e+03    0.000000e+00
   1.495053e-02    9.525489e+00    1.760966e+03    0.000000e+00
   1.794064e-02    9.176448e+00    1.476586e+03    0.000000e+00
   2.093075e-02    8.895178e+00    1.273293e+03    0.000000e+00
   2.392085e-02    8.661551e+00    1.120676e+03    0.000000e+00
   2.691096e-02    8.461520e+00    1.001848e+03    0.000000e+00
   2.990107e-02    8.287042e+00    9.066719e+02    0.000000e+00
   3.289117e-02    8.134272e+00    8.287006e+02    0.000000e+00
   3.588128e-02    7.996321e+00    7.636324e+02    0.000000e+00
   3.887139e-02    7.873537e+00    7.084924e+02    0.000000e+00
   4.186149e-02    7.760724e+00    6.611528e+02    0.000000e+00
   4.485160e-02    7.657285e+00    6.200558e+02    0.000000e+00
   4.784171e-02    7.562299e+00    5.840308e+02    0.000000e+00
   5.083181e-02    7.473833e+00    5.521845e+02    0.000000e+00
   5.382192e-02    7.391207e+00    5.238204e+02    0.000000e+00
   5.681203e-02    7.313799e+00    4.983903e+02    0.000000e+00
   5.980213e-02    7.241412e+00    4.754540e+02    0.000000e+00
   6.279224e-02    7.173031e+00    4.546565e+02    0.000000e+00
   6.578235e-02    7.108422e+00    4.357064e+02    0.000000e+00
   6.877245e-02    7.047003e+00    4.183637e+02    0.000000e+00
   7.176256e-02    6.988579e+00    4.024276e+02    0.000000e+00
   7.475267e-02    6.932911e+00    3.877302e+02    0.000000e+00
   7.774277e-02    6.879678e+00    3.741287e+02    0.000000e+00
   8.073288e-02    6.828745e+00    3.615023e+02    0.000000e+00
   8.372299e-02    6.779855e+00    3.497465e+02    0.000000e+00
   8.671309e-02    6.732853e+00    3.387721e+02    0.000000e+00
   8.970320e-02    6.687705e+00    3.285010e+02    0.000000e+00
   9.269331e-02    6.644127e+00    3.188658e+02    0.000000e+00
   9.568341e-02    6.603060e+00    3.098070e+02    0.000000e+00
   9.867352e-02    6.593138e+00    3.012728e+02    0.000000e+00
   1.016636e-01    6.562707e+00    2.932171e+02    0.000000e+00
   1.046537e-01    6.529755e+00    2.855994e+02    0.000000e+00
   1.076438e-01    6.496547e+00    2.783833e+02    0.000000e+00
   1.106339e-01    6.463083e+00    2.715368e+02    0.000000e+00
   1.136241e-01    6.429419e+00    2.650307e+02    0.000000e+00
   1.166142e-01    6.395699e+00    2.588393e+02    0.000000e+00
   1.196043e-01    6.362250e+00    2.529392e+02    0.000000e+00
   1.225944e-01    6.329252e+00    2.473095e+02    0.000000e+00
   1.255845e-01    6.296915e+00    2.419308e+02    0.000000e+00
   1.285746e-01    6.265415e+00    2.367862e+02    0.000000e+00
   1.315647e-01    6.235225e+00    2.318597e+02    0.000000e+00
   1.345548e-01    6.206506e+00    2.271372e+02    0.000000e+00
   1.375449e-01    6.179180e+00    2.226054e+02    0.000000e+00
   1.405350e-01    6.153300e+00    2.182525e+02    0.000000e+00
   1.435251e-01    6.129613e+00    2.140675e+02    0.000000e+00
   1.465152e-01    6.107856e+00    2.100402e+02    0.000000e+00
   1.495053e-01    6.086618e+00    2.061614e+02    0.000000e+00
   1.524954e-01    6.064996e+00    2.024226e+02    0.000000e+00
   1.554855e-01    6.037490e+00    1.988159e+02    0.000000e+00
   1.584757e-01    6.011228e+00    1.953339e+02    0.000000e+00
   1.614658e-01    5.986885e+00    1.919698e+02    0.000000e+00
   1.644559e-01    5.965928e+00    1.887176e+02    0.000000e+00
   1.674460e-01    5.946985e+00    1.855711e+02    0.000000e+00
