# atomic units
# Peak of g_ii(r) =   1.60
# Effective coupling: Gamma_ii=    43.3
#              r                  (g(i,j),j=i,nspecies, i=1,nspecies)
  7.30304391248E-03    0.00000000000E+00
  1.46060878250E-02    0.00000000000E+00
  2.19091317374E-02    0.00000000000E+00
  2.92121756499E-02    0.00000000000E+00
  3.65152195624E-02    0.00000000000E+00
  4.38182634749E-02    0.00000000000E+00
  5.11213073874E-02    0.00000000000E+00
  5.84243512998E-02    0.00000000000E+00
  6.57273952123E-02    0.00000000000E+00
  7.30304391248E-02    0.00000000000E+00
  8.03334830373E-02    0.00000000000E+00
  8.76365269498E-02    0.00000000000E+00
  9.49395708622E-02    0.00000000000E+00
  1.02242614775E-01    0.00000000000E+00
  1.09545658687E-01    0.00000000000E+00
  1.16848702600E-01    0.00000000000E+00
  1.24151746512E-01    0.00000000000E+00
  1.31454790425E-01    0.00000000000E+00
  1.38757834337E-01    0.00000000000E+00
  1.46060878250E-01    0.00000000000E+00
  1.53363922162E-01    0.00000000000E+00
  1.60666966075E-01    0.00000000000E+00
  1.67970009987E-01    0.00000000000E+00
  1.75273053900E-01    0.00000000000E+00
  1.82576097812E-01    0.00000000000E+00
  1.89879141724E-01    0.00000000000E+00
  1.97182185637E-01    0.00000000000E+00
  2.04485229549E-01    0.00000000000E+00
  2.11788273462E-01    0.00000000000E+00
  2.19091317374E-01    0.00000000000E+00
  2.26394361287E-01    0.00000000000E+00
  2.33697405199E-01    0.00000000000E+00
  2.41000449112E-01    0.00000000000E+00
  2.48303493024E-01    0.00000000000E+00
  2.55606536937E-01    0.00000000000E+00
  2.62909580849E-01    0.00000000000E+00
  2.70212624762E-01    0.00000000000E+00
  2.77515668674E-01    0.00000000000E+00
  2.84818712587E-01    0.00000000000E+00
  2.92121756499E-01    0.00000000000E+00
  2.99424800412E-01    0.00000000000E+00
  3.06727844324E-01    0.00000000000E+00
  3.14030888237E-01    0.00000000000E+00
  3.21333932149E-01    0.00000000000E+00
  3.28636976062E-01    0.00000000000E+00
  3.35940019974E-01    0.00000000000E+00
  3.43243063887E-01    0.00000000000E+00
  3.50546107799E-01    0.00000000000E+00
  3.57849151712E-01    0.00000000000E+00
  3.65152195624E-01    0.00000000000E+00
  3.72455239536E-01    0.00000000000E+00
  3.79758283449E-01    0.00000000000E+00
  3.87061327361E-01    0.00000000000E+00
  3.94364371274E-01    0.00000000000E+00
  4.01667415186E-01    0.00000000000E+00
  4.08970459099E-01    0.00000000000E+00
  4.16273503011E-01    0.00000000000E+00
  4.23576546924E-01    0.00000000000E+00
  4.30879590836E-01    0.00000000000E+00
  4.38182634749E-01    0.00000000000E+00
  4.45485678661E-01    0.00000000000E+00
  4.52788722574E-01    0.00000000000E+00
  4.60091766486E-01    0.00000000000E+00
  4.67394810399E-01    0.00000000000E+00
  4.74697854311E-01    0.00000000000E+00
  4.82000898224E-01    0.00000000000E+00
  4.89303942136E-01    0.00000000000E+00
  4.96606986049E-01    0.00000000000E+00
  5.03910029961E-01    0.00000000000E+00
  5.11213073874E-01    0.00000000000E+00
  5.18516117786E-01    0.00000000000E+00
  5.25819161699E-01    0.00000000000E+00
  5.33122205611E-01    0.00000000000E+00
  5.40425249524E-01    0.00000000000E+00
  5.47728293436E-01    0.00000000000E+00
  5.55031337348E-01    0.00000000000E+00
  5.62334381261E-01    0.00000000000E+00
  5.69637425173E-01    0.00000000000E+00
  5.76940469086E-01    0.00000000000E+00
  5.84243512998E-01    0.00000000000E+00
  5.91546556911E-01    0.00000000000E+00
  5.98849600823E-01    0.00000000000E+00
  6.06152644736E-01    0.00000000000E+00
  6.13455688648E-01    0.00000000000E+00
  6.20758732561E-01    0.00000000000E+00
  6.28061776473E-01    0.00000000000E+00
  6.35364820386E-01    0.00000000000E+00
  6.42667864298E-01    0.00000000000E+00
  6.49970908211E-01    0.00000000000E+00
  6.57273952123E-01    0.00000000000E+00
  6.64576996036E-01    0.00000000000E+00
  6.71880039948E-01    0.00000000000E+00
  6.79183083861E-01    0.00000000000E+00
  6.86486127773E-01    0.00000000000E+00
  6.93789171686E-01    0.00000000000E+00
  7.01092215598E-01    0.00000000000E+00
  7.08395259511E-01    0.00000000000E+00
  7.15698303423E-01    0.00000000000E+00
  7.23001347336E-01    0.00000000000E+00
  7.30304391248E-01    0.00000000000E+00
  7.37607435160E-01    0.00000000000E+00
  7.44910479073E-01    0.00000000000E+00
  7.52213522985E-01    0.00000000000E+00
  7.59516566898E-01    0.00000000000E+00
  7.66819610810E-01    0.00000000000E+00
  7.74122654723E-01    0.00000000000E+00
  7.81425698635E-01    0.00000000000E+00
  7.88728742548E-01    0.00000000000E+00
  7.96031786460E-01    0.00000000000E+00
  8.03334830373E-01    0.00000000000E+00
  8.10637874285E-01    0.00000000000E+00
  8.17940918198E-01    0.00000000000E+00
  8.25243962110E-01    0.00000000000E+00
  8.32547006023E-01    0.00000000000E+00
  8.39850049935E-01    0.00000000000E+00
  8.47153093848E-01    0.00000000000E+00
  8.54456137760E-01    0.00000000000E+00
  8.61759181673E-01    0.00000000000E+00
  8.69062225585E-01    0.00000000000E+00
  8.76365269498E-01    0.00000000000E+00
  8.83668313410E-01    0.00000000000E+00
  8.90971357323E-01    0.00000000000E+00
  8.98274401235E-01    0.00000000000E+00
  9.05577445148E-01    0.00000000000E+00
  9.12880489060E-01    0.00000000000E+00
  9.20183532972E-01    0.00000000000E+00
  9.27486576885E-01    0.00000000000E+00
  9.34789620797E-01    0.00000000000E+00
  9.42092664710E-01    0.00000000000E+00
  9.49395708622E-01    0.00000000000E+00
  9.56698752535E-01    0.00000000000E+00
  9.64001796447E-01    0.00000000000E+00
  9.71304840360E-01    0.00000000000E+00
  9.78607884272E-01    0.00000000000E+00
  9.85910928185E-01    0.00000000000E+00
  9.93213972097E-01    0.00000000000E+00
  1.00051701601E+00    0.00000000000E+00
  1.00782005992E+00    0.00000000000E+00
  1.01512310383E+00    0.00000000000E+00
  1.02242614775E+00    0.00000000000E+00
  1.02972919166E+00    0.00000000000E+00
  1.03703223557E+00    0.00000000000E+00
  1.04433527948E+00    0.00000000000E+00
  1.05163832340E+00    0.00000000000E+00
  1.05894136731E+00    0.00000000000E+00
  1.06624441122E+00    0.00000000000E+00
  1.07354745513E+00    0.00000000000E+00
  1.08085049905E+00    0.00000000000E+00
  1.08815354296E+00    0.00000000000E+00
  1.09545658687E+00    0.00000000000E+00
  1.10275963078E+00    0.00000000000E+00
  1.11006267470E+00    0.00000000000E+00
  1.11736571861E+00    0.00000000000E+00
  1.12466876252E+00    0.00000000000E+00
  1.13197180643E+00    0.00000000000E+00
  1.13927485035E+00    0.00000000000E+00
  1.14657789426E+00    0.00000000000E+00
  1.15388093817E+00    0.00000000000E+00
  1.16118398208E+00    0.00000000000E+00
  1.16848702600E+00    0.00000000000E+00
  1.17579006991E+00    0.00000000000E+00
  1.18309311382E+00    0.00000000000E+00
  1.19039615773E+00    0.00000000000E+00
  1.19769920165E+00    0.00000000000E+00
  1.20500224556E+00    0.00000000000E+00
  1.21230528947E+00    0.00000000000E+00
  1.21960833338E+00    0.00000000000E+00
  1.22691137730E+00    0.00000000000E+00
  1.23421442121E+00    0.00000000000E+00
  1.24151746512E+00    0.00000000000E+00
  1.24882050903E+00    0.00000000000E+00
  1.25612355295E+00    0.00000000000E+00
  1.26342659686E+00    0.00000000000E+00
  1.27072964077E+00    0.00000000000E+00
  1.27803268468E+00    0.00000000000E+00
  1.28533572860E+00    0.00000000000E+00
  1.29263877251E+00    0.00000000000E+00
  1.29994181642E+00    0.00000000000E+00
  1.30724486033E+00    0.00000000000E+00
  1.31454790425E+00    0.00000000000E+00
  1.32185094816E+00    0.00000000000E+00
  1.32915399207E+00    0.00000000000E+00
  1.33645703598E+00    0.00000000000E+00
  1.34376007990E+00    0.00000000000E+00
  1.35106312381E+00    0.00000000000E+00
  1.35836616772E+00    0.00000000000E+00
  1.36566921163E+00    0.00000000000E+00
  1.37297225555E+00    0.00000000000E+00
  1.38027529946E+00    0.00000000000E+00
  1.38757834337E+00    0.00000000000E+00
  1.39488138728E+00    0.00000000000E+00
  1.40218443120E+00    0.00000000000E+00
  1.40948747511E+00    0.00000000000E+00
  1.41679051902E+00    0.00000000000E+00
  1.42409356293E+00    0.00000000000E+00
  1.43139660685E+00    0.00000000000E+00
  1.43869965076E+00    0.00000000000E+00
  1.44600269467E+00    0.00000000000E+00
  1.45330573858E+00    0.00000000000E+00
  1.46060878250E+00    0.00000000000E+00
  1.46791182641E+00    0.00000000000E+00
  1.47521487032E+00    0.00000000000E+00
  1.48251791423E+00    0.00000000000E+00
  1.48982095815E+00    0.00000000000E+00
  1.49712400206E+00    0.00000000000E+00
  1.50442704597E+00    0.00000000000E+00
  1.51173008988E+00    0.00000000000E+00
  1.51903313380E+00    0.00000000000E+00
  1.52633617771E+00    0.00000000000E+00
  1.53363922162E+00    0.00000000000E+00
  1.54094226553E+00    0.00000000000E+00
  1.54824530945E+00    0.00000000000E+00
  1.55554835336E+00    0.00000000000E+00
  1.56285139727E+00    0.00000000000E+00
  1.57015444118E+00    0.00000000000E+00
  1.57745748510E+00    0.00000000000E+00
  1.58476052901E+00    0.00000000000E+00
  1.59206357292E+00    0.00000000000E+00
  1.59936661683E+00    0.00000000000E+00
  1.60666966075E+00    0.00000000000E+00
  1.61397270466E+00    0.00000000000E+00
  1.62127574857E+00    0.00000000000E+00
  1.62857879248E+00    0.00000000000E+00
  1.63588183640E+00    0.00000000000E+00
  1.64318488031E+00    0.00000000000E+00
  1.65048792422E+00    0.00000000000E+00
  1.65779096813E+00    0.00000000000E+00
  1.66509401205E+00    0.00000000000E+00
  1.67239705596E+00    0.00000000000E+00
  1.67970009987E+00    0.00000000000E+00
  1.68700314378E+00    0.00000000000E+00
  1.69430618770E+00    0.00000000000E+00
  1.70160923161E+00    0.00000000000E+00
  1.70891227552E+00    0.00000000000E+00
  1.71621531943E+00    0.00000000000E+00
  1.72351836335E+00    0.00000000000E+00
  1.73082140726E+00    0.00000000000E+00
  1.73812445117E+00    0.00000000000E+00
