# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.280e-10, Err(n_e)=2.493e-11, Err(IET)=9.967e-13, Q_net=-2.767e-09
# {"name":"Al", "Z":13, "Zstar":4.763643836649454, "A":26.981539,  "μ[AU]": -1.4933693200e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-01, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.140034e+02    0.000000e+00
   5.980213e-02             nan    4.291235e+02    0.000000e+00
   8.970320e-02             nan    2.979886e+02    0.000000e+00
   1.196043e-01             nan    2.303976e+02    0.000000e+00
   1.495053e-01             nan    1.885617e+02    0.000000e+00
   1.794064e-01             nan    1.596798e+02    0.000000e+00
   2.093075e-01             nan    1.383740e+02    0.000000e+00
   2.392085e-01             nan    1.218498e+02    0.000000e+00
   2.691096e-01             nan    1.086149e+02    0.000000e+00
   2.990107e-01             nan    9.771016e+01    0.000000e+00
   3.289117e-01             nan    8.856372e+01    0.000000e+00
   3.588128e-01             nan    8.075217e+01    0.000000e+00
   3.887139e-01             nan    7.400924e+01    0.000000e+00
   4.186149e-01             nan    6.811499e+01    0.000000e+00
   4.485160e-01             nan    6.292815e+01    0.000000e+00
   4.784171e-01             nan    5.832069e+01    0.000000e+00
   5.083181e-01             nan    5.421032e+01    0.000000e+00
   5.382192e-01             nan    5.051607e+01    0.000000e+00
   5.681203e-01             nan    4.718656e+01    0.000000e+00
   5.980213e-01             nan    4.416729e+01    0.000000e+00
   6.279224e-01             nan    4.142444e+01    0.000000e+00
   6.578235e-01             nan    3.891952e+01    0.000000e+00
   6.877245e-01             nan    3.662937e+01    0.000000e+00
   7.176256e-01             nan    3.452576e+01    0.000000e+00
   7.475267e-01             nan    3.259231e+01    0.000000e+00
   7.774277e-01             nan    3.080771e+01    0.000000e+00
   8.073288e-01             nan    2.916008e+01    0.000000e+00
   8.372299e-01             nan    2.763292e+01    0.000000e+00
   8.671309e-01             nan    2.621749e+01    0.000000e+00
   8.970320e-01             nan    2.490073e+01    0.000000e+00
   9.269331e-01             nan    2.367611e+01    0.000000e+00
   9.568341e-01             nan    2.253314e+01    0.000000e+00
   9.867352e-01             nan    2.146688e+01    0.000000e+00
   1.016636e+00             nan    2.046879e+01    0.000000e+00
   1.046537e+00             nan    1.953509e+01    0.000000e+00
   1.076438e+00             nan    1.865874e+01    0.000000e+00
   1.106339e+00             nan    1.783685e+01    0.000000e+00
   1.136241e+00             nan    1.706353e+01    0.000000e+00
   1.166142e+00             nan    1.633658e+01    0.000000e+00
   1.196043e+00             nan    1.565105e+01    0.000000e+00
   1.225944e+00             nan    1.500522e+01    0.000000e+00
   1.255845e+00             nan    1.439489e+01    0.000000e+00
   1.285746e+00             nan    1.381876e+01    0.000000e+00
   1.315647e+00             nan    1.327322e+01    0.000000e+00
   1.345548e+00             nan    1.275729e+01    0.000000e+00
   1.375449e+00             nan    1.226785e+01    0.000000e+00
   1.405350e+00             nan    1.180416e+01    1.091305e-11
   1.435251e+00             nan    1.136352e+01    4.486633e-11
   1.465152e+00             nan    1.094537e+01    1.433964e-10
   1.495053e+00             nan    1.054736e+01    4.142708e-10
   1.524954e+00             nan    1.016908e+01    1.118384e-09
   1.554855e+00             nan    9.808463e+00    2.863525e-09
   1.584757e+00             nan    9.465231e+00    6.978960e-09
   1.614658e+00             nan    9.137548e+00    1.628761e-08
   1.644559e+00             nan    8.825235e+00    3.643051e-08
   1.674460e+00             nan    8.526660e+00    7.845237e-08
   1.704361e+00             nan    8.241723e+00    1.627140e-07
   1.734262e+00             nan    7.968967e+00    3.263330e-07
   1.764163e+00             nan    7.708353e+00    6.329475e-07
   1.794064e+00             nan    7.458573e+00    1.191518e-06
   1.823965e+00             nan    7.219638e+00    2.176964e-06
