# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=2.343e-10, Err(n_e)=6.972e-11, Err(IET)=9.985e-13, Q_net=-4.338e-09
# {"name":"Al", "Z":13, "Zstar":4.763648122022713, "A":26.981539,  "μ[AU]": -1.4933693199e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   2.990107e-02             nan    8.140049e+02    0.000000e+00
   5.980213e-02             nan    4.291243e+02    0.000000e+00
   8.970320e-02             nan    2.979892e+02    0.000000e+00
   1.196043e-01             nan    2.303980e+02    0.000000e+00
   1.495053e-01             nan    1.885620e+02    0.000000e+00
   1.794064e-01             nan    1.596801e+02    0.000000e+00
   2.093075e-01             nan    1.383742e+02    0.000000e+00
   2.392085e-01             nan    1.218501e+02    0.000000e+00
   2.691096e-01             nan    1.086151e+02    0.000000e+00
   2.990107e-01             nan    9.771035e+01    0.000000e+00
   3.289117e-01             nan    8.856389e+01    0.000000e+00
   3.588128e-01             nan    8.075232e+01    0.000000e+00
   3.887139e-01             nan    7.400938e+01    0.000000e+00
   4.186149e-01             nan    6.811513e+01    0.000000e+00
   4.485160e-01             nan    6.292827e+01    0.000000e+00
   4.784171e-01             nan    5.832081e+01    0.000000e+00
   5.083181e-01             nan    5.421043e+01    0.000000e+00
   5.382192e-01             nan    5.051618e+01    0.000000e+00
   5.681203e-01             nan    4.718666e+01    0.000000e+00
   5.980213e-01             nan    4.416738e+01    0.000000e+00
   6.279224e-01             nan    4.142453e+01    0.000000e+00
   6.578235e-01             nan    3.891961e+01    0.000000e+00
   6.877245e-01             nan    3.662945e+01    0.000000e+00
   7.176256e-01             nan    3.452584e+01    0.000000e+00
   7.475267e-01             nan    3.259239e+01    0.000000e+00
   7.774277e-01             nan    3.080778e+01    0.000000e+00
   8.073288e-01             nan    2.916015e+01    0.000000e+00
   8.372299e-01             nan    2.763299e+01    0.000000e+00
   8.671309e-01             nan    2.621755e+01    0.000000e+00
   8.970320e-01             nan    2.490079e+01    0.000000e+00
   9.269331e-01             nan    2.367616e+01    0.000000e+00
   9.568341e-01             nan    2.253320e+01    0.000000e+00
   9.867352e-01             nan    2.146693e+01    0.000000e+00
   1.016636e+00             nan    2.046884e+01    0.000000e+00
   1.046537e+00             nan    1.953514e+01    0.000000e+00
   1.076438e+00             nan    1.865879e+01    0.000000e+00
   1.106339e+00             nan    1.783689e+01    0.000000e+00
   1.136241e+00             nan    1.706358e+01    0.000000e+00
   1.166142e+00             nan    1.633663e+01    0.000000e+00
   1.196043e+00             nan    1.565109e+01    0.000000e+00
   1.225944e+00             nan    1.500526e+01    0.000000e+00
   1.255845e+00             nan    1.439493e+01    0.000000e+00
   1.285746e+00             nan    1.381880e+01    0.000000e+00
   1.315647e+00             nan    1.327326e+01    0.000000e+00
   1.345548e+00             nan    1.275732e+01    0.000000e+00
   1.375449e+00             nan    1.226788e+01    0.000000e+00
   1.405350e+00             nan    1.180419e+01    0.000000e+00
   1.435251e+00             nan    1.136355e+01    0.000000e+00
   1.465152e+00             nan    1.094540e+01    0.000000e+00
   1.495053e+00             nan    1.054739e+01    0.000000e+00
   1.524954e+00             nan    1.016911e+01    0.000000e+00
   1.554855e+00             nan    9.808493e+00    0.000000e+00
   1.584757e+00             nan    9.465260e+00    0.000000e+00
   1.614658e+00             nan    9.137576e+00    0.000000e+00
   1.644559e+00             nan    8.825262e+00    0.000000e+00
   1.674460e+00             nan    8.526687e+00    0.000000e+00
   1.704361e+00             nan    8.241750e+00    0.000000e+00
   1.734262e+00             nan    7.968993e+00    0.000000e+00
   1.764163e+00             nan    7.708378e+00    0.000000e+00
   1.794064e+00             nan    7.458597e+00    0.000000e+00
   1.823965e+00             nan    7.219662e+00    0.000000e+00
   1.853866e+00             nan    6.990392e+00    0.000000e+00
   1.883767e+00             nan    6.770840e+00    0.000000e+00
   1.913668e+00             nan    6.559937e+00    0.000000e+00
   1.943569e+00             nan    6.357766e+00    0.000000e+00
   1.973470e+00             nan    6.163356e+00    0.000000e+00
   2.003371e+00             nan    5.976814e+00    0.000000e+00
   2.033273e+00             nan    5.797255e+00    0.000000e+00
   2.063174e+00             nan    5.624807e+00    0.000000e+00
   2.093075e+00             nan    5.458657e+00    0.000000e+00
   2.122976e+00             nan    5.298947e+00    0.000000e+00
   2.152877e+00             nan    5.144934e+00    0.000000e+00
   2.182778e+00             nan    4.996769e+00    0.000000e+00
   2.212679e+00             nan    4.853767e+00    0.000000e+00
   2.242580e+00             nan    4.716090e+00    0.000000e+00
   2.272481e+00             nan    4.583101e+00    0.000000e+00
   2.302382e+00             nan    4.454971e+00    0.000000e+00
   2.332283e+00             nan    4.331109e+00    0.000000e+00
   2.362184e+00             nan    4.211689e+00    0.000000e+00
   2.392085e+00             nan    4.096164e+00    0.000000e+00
   2.421986e+00             nan    3.984708e+00    0.000000e+00
   2.451887e+00             nan    3.876811e+00    0.000000e+00
   2.481789e+00             nan    3.772651e+00    0.000000e+00
   2.511690e+00             nan    3.671751e+00    0.000000e+00
   2.541591e+00             nan    3.574287e+00    0.000000e+00
   2.571492e+00             nan    3.479813e+00    0.000000e+00
   2.601393e+00             nan    3.388506e+00    0.000000e+00
   2.631294e+00             nan    3.299948e+00    0.000000e+00
   2.661195e+00             nan    3.214313e+00    0.000000e+00
   2.691096e+00             nan    3.131208e+00    0.000000e+00
   2.720997e+00             nan    3.050807e+00    0.000000e+00
   2.750898e+00             nan    2.972738e+00    0.000000e+00
   2.780799e+00             nan    2.897174e+00    0.000000e+00
   2.810700e+00             nan    2.823763e+00    0.000000e+00
   2.840601e+00             nan    2.752676e+00    0.000000e+00
   2.870502e+00             nan    2.683580e+00    0.000000e+00
   2.900403e+00             nan    2.616643e+00    4.901635e-12
   2.930305e+00             nan    2.551551e+00    2.258105e-11
   2.960206e+00             nan    2.488467e+00    7.955014e-11
   2.990107e+00             nan    2.427095e+00    2.555369e-10
   3.020008e+00             nan    2.367593e+00    7.711627e-10
   3.049909e+00             nan    2.309681e+00    2.223255e-09
   3.079810e+00             nan    2.253515e+00    6.113249e-09
   3.109711e+00             nan    2.198826e+00    1.616373e-08
   3.139612e+00             nan    2.145769e+00    4.093826e-08
   3.169513e+00             nan    2.094087e+00    1.000296e-07
   3.199414e+00             nan    2.043930e+00    2.348632e-07
