# Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.877e-11, Err(n_e)=2.479e-11, Err(IET)=9.970e-13, Q_net=-2.727e-09
# {"name":"Al", "Z":13, "Zstar":4.725884058379653, "A":26.981539,  "μ[AU]": -1.4933693366e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    1.549968e+03    0.000000e+00
   2.990107e-02             nan    8.002776e+02    0.000000e+00
   4.485160e-02             nan    5.488160e+02    0.000000e+00
   5.980213e-02             nan    4.218743e+02    0.000000e+00
   7.475267e-02             nan    3.448625e+02    0.000000e+00
   8.970320e-02             nan    2.928291e+02    0.000000e+00
   1.046537e-01             nan    2.551366e+02    0.000000e+00
   1.196043e-01             nan    2.264194e+02    0.000000e+00
   1.345548e-01             nan    2.037304e+02    0.000000e+00
   1.495053e-01             nan    1.852714e+02    0.000000e+00
   1.644559e-01             nan    1.699190e+02    0.000000e+00
   1.794064e-01             nan    1.569053e+02    0.000000e+00
   1.943569e-01             nan    1.457126e+02    0.000000e+00
   2.093075e-01             nan    1.359573e+02    0.000000e+00
   2.242580e-01             nan    1.273687e+02    0.000000e+00
   2.392085e-01             nan    1.197327e+02    0.000000e+00
   2.541591e-01             nan    1.128941e+02    0.000000e+00
   2.691096e-01             nan    1.067239e+02    0.000000e+00
   2.840601e-01             nan    1.011265e+02    0.000000e+00
   2.990107e-01             nan    9.601907e+01    0.000000e+00
   3.139612e-01             nan    9.133938e+01    0.000000e+00
   3.289117e-01             nan    8.703129e+01    0.000000e+00
   3.438623e-01             nan    8.305272e+01    0.000000e+00
   3.588128e-01             nan    7.936419e+01    0.000000e+00
   3.737633e-01             nan    7.593605e+01    0.000000e+00
   3.887139e-01             nan    7.273945e+01    0.000000e+00
   4.036644e-01             nan    6.975295e+01    0.000000e+00
   4.186149e-01             nan    6.695499e+01    0.000000e+00
   4.335655e-01             nan    6.432957e+01    0.000000e+00
   4.485160e-01             nan    6.185999e+01    0.000000e+00
   4.634665e-01             nan    5.953409e+01    0.000000e+00
   4.784171e-01             nan    5.733885e+01    0.000000e+00
   4.933676e-01             nan    5.526490e+01    0.000000e+00
   5.083181e-01             nan    5.330178e+01    0.000000e+00
   5.232687e-01             nan    5.144202e+01    0.000000e+00
   5.382192e-01             nan    4.967714e+01    0.000000e+00
   5.531697e-01             nan    4.800121e+01    0.000000e+00
   5.681203e-01             nan    4.640727e+01    0.000000e+00
   5.830708e-01             nan    4.489050e+01    0.000000e+00
   5.980213e-01             nan    4.344507e+01    0.000000e+00
   6.129719e-01             nan    4.206704e+01    0.000000e+00
   6.279224e-01             nan    4.075152e+01    0.000000e+00
   6.428729e-01             nan    3.949525e+01    0.000000e+00
   6.578235e-01             nan    3.829405e+01    0.000000e+00
   6.727740e-01             nan    3.714519e+01    0.000000e+00
   6.877245e-01             nan    3.604512e+01    0.000000e+00
   7.026751e-01             nan    3.499155e+01    0.000000e+00
   7.176256e-01             nan    3.398137e+01    0.000000e+00
   7.325761e-01             nan    3.301266e+01    0.000000e+00
   7.475267e-01             nan    3.208272e+01    0.000000e+00
   7.624772e-01             nan    3.118991e+01    0.000000e+00
   7.774277e-01             nan    3.033188e+01    0.000000e+00
   7.923783e-01             nan    2.950721e+01    0.000000e+00
   8.073288e-01             nan    2.871383e+01    0.000000e+00
   8.222793e-01             nan    2.795054e+01    0.000000e+00
   8.372299e-01             nan    2.721548e+01    0.000000e+00
   8.521804e-01             nan    2.650764e+01    0.000000e+00
   8.671309e-01             nan    2.582535e+01    0.000000e+00
   8.820815e-01             nan    2.516773e+01    0.000000e+00
   8.970320e-01             nan    2.453332e+01    0.000000e+00
   9.119825e-01             nan    2.392133e+01    0.000000e+00
   9.269331e-01             nan    2.333044e+01    0.000000e+00
   9.418836e-01             nan    2.276000e+01    0.000000e+00
   9.568341e-01             nan    2.220879e+01    0.000000e+00
   9.717847e-01             nan    2.167626e+01    0.000000e+00
   9.867352e-01             nan    2.116130e+01    0.000000e+00
   1.001686e+00             nan    2.066343e+01    0.000000e+00
   1.016636e+00             nan    2.018167e+01    0.000000e+00
   1.031587e+00             nan    1.971556e+01    0.000000e+00
   1.046537e+00             nan    1.926423e+01    0.000000e+00
   1.061488e+00             nan    1.882728e+01    0.000000e+00
   1.076438e+00             nan    1.840392e+01    0.000000e+00
   1.091389e+00             nan    1.799379e+01    0.000000e+00
   1.106339e+00             nan    1.759616e+01    0.000000e+00
   1.121290e+00             nan    1.721073e+01    0.000000e+00
   1.136241e+00             nan    1.683683e+01    0.000000e+00
   1.151191e+00             nan    1.647419e+01    0.000000e+00
   1.166142e+00             nan    1.612220e+01    0.000000e+00
   1.181092e+00             nan    1.578062e+01    0.000000e+00
   1.196043e+00             nan    1.544889e+01    0.000000e+00
   1.210993e+00             nan    1.512680e+01    0.000000e+00
   1.225944e+00             nan    1.481383e+01    0.000000e+00
   1.240894e+00             nan    1.450980e+01    0.000000e+00
   1.255845e+00             nan    1.421423e+01    0.000000e+00
   1.270795e+00             nan    1.392696e+01    0.000000e+00
   1.285746e+00             nan    1.364754e+01    0.000000e+00
   1.300696e+00             nan    1.337584e+01    0.000000e+00
   1.315647e+00             nan    1.311144e+01    0.000000e+00
   1.330597e+00             nan    1.285423e+01    0.000000e+00
   1.345548e+00             nan    1.260381e+01    0.000000e+00
   1.360499e+00             nan    1.236008e+01    0.000000e+00
   1.375449e+00             nan    1.212269e+01    0.000000e+00
   1.390400e+00             nan    1.189155e+01    0.000000e+00
   1.405350e+00             nan    1.166631e+01    0.000000e+00
   1.420301e+00             nan    1.144691e+01    0.000000e+00
   1.435251e+00             nan    1.123303e+01    0.000000e+00
   1.450202e+00             nan    1.102461e+01    0.000000e+00
   1.465152e+00             nan    1.082135e+01    0.000000e+00
   1.480103e+00             nan    1.062319e+01    0.000000e+00
   1.495053e+00             nan    1.042987e+01    0.000000e+00
   1.510004e+00             nan    1.024133e+01    0.000000e+00
   1.524954e+00             nan    1.005731e+01    0.000000e+00
   1.539905e+00             nan    9.877787e+00    0.000000e+00
   1.554855e+00             nan    9.702507e+00    0.000000e+00
   1.569806e+00             nan    9.531441e+00    0.000000e+00
