Model replicates Starrett & Saumon 2014 'A simple method for determining the ionic structure of warm dense matter'
# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=5.441e-11, Err(n_e)=2.529e-11, Err(IET)=3.740e-12, Q_net=2.671e-09
# {"name":"Al", "Z":13, "Zstar":4.829064501629094, "A":26.981539,  "μ[AU]": -1.4662224745e+00, "Te[AU]": 1.102e+00, "Ti[AU]": 3.675e-02, "rs[AU]": 2.990e+00 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   1.495053e-02             nan    1.617905e+03    0.000000e+00
   2.990107e-02             nan    8.352560e+02    0.000000e+00
   4.485160e-02             nan    5.727705e+02    0.000000e+00
   5.980213e-02             nan    4.402854e+02    0.000000e+00
   7.475267e-02             nan    3.599282e+02    0.000000e+00
   8.970320e-02             nan    3.056395e+02    0.000000e+00
   1.046537e-01             nan    2.663144e+02    0.000000e+00
   1.196043e-01             nan    2.363625e+02    0.000000e+00
   1.345548e-01             nan    2.127029e+02    0.000000e+00
   1.495053e-01             nan    1.934578e+02    0.000000e+00
   1.644559e-01             nan    1.774540e+02    0.000000e+00
   1.794064e-01             nan    1.638905e+02    0.000000e+00
   1.943569e-01             nan    1.522265e+02    0.000000e+00
   2.093075e-01             nan    1.420616e+02    0.000000e+00
   2.242580e-01             nan    1.331130e+02    0.000000e+00
   2.392085e-01             nan    1.251579e+02    0.000000e+00
   2.541591e-01             nan    1.180340e+02    0.000000e+00
   2.691096e-01             nan    1.116066e+02    0.000000e+00
   2.840601e-01             nan    1.057761e+02    0.000000e+00
   2.990107e-01             nan    1.004558e+02    0.000000e+00
   3.139612e-01             nan    9.558091e+01    0.000000e+00
   3.289117e-01             nan    9.109311e+01    0.000000e+00
   3.438623e-01             nan    8.694860e+01    0.000000e+00
   3.588128e-01             nan    8.310590e+01    0.000000e+00
   3.737633e-01             nan    7.953444e+01    0.000000e+00
   3.887139e-01             nan    7.620406e+01    0.000000e+00
   4.036644e-01             nan    7.309230e+01    0.000000e+00
   4.186149e-01             nan    7.017663e+01    0.000000e+00
   4.335655e-01             nan    6.744047e+01    0.000000e+00
   4.485160e-01             nan    6.486649e+01    0.000000e+00
   4.634665e-01             nan    6.244210e+01    0.000000e+00
   4.784171e-01             nan    6.015365e+01    0.000000e+00
   4.933676e-01             nan    5.799131e+01    0.000000e+00
   5.083181e-01             nan    5.594425e+01    0.000000e+00
